題目ID,題目,答案,選項1,選項2,選項3,選項4,
1,「老」拼音是什麼？,1,lǎo,láo,lào,lao,
2,「書」拼音是什麼？,2,shu,shū,shù,shǔ,
3,「天」拼音是什麼？,4,tiāng,tián,tiǎn,tiān,
4,「日」拼音是什麼？,3,rǐ,rī,rì,ri,
5,「坐」拼音是什麼？,2,zuǒ,zuò,zuō,zuó,
6,「冷」拼音是什麼？,3,lěn,léng,lěng,lèng,
7,「吃」拼音是什麼？,2,cī,chī,chí,chǐ,
8,「七」拼音是什麼？,4,qí,qǐ,qi,qī,
9,「八」拼音是什麼？,1,bā,bǎ,ba,bà,
10,「咖啡」拼音是什麼？,1,kāfēi,kǎfēi,káfēi,kàfēi,
11,「地方」拼音是什麼？,2,dífāng,dìfāng,dìfǎng,dīfāng,
12,「意思」拼音是什麼？,4,yísi,yìshi,yisi,yìsi,
13,「說話」拼音是什麼？,4,suōhuà,shuohuà,shuōhuá,shuōhuà,
14,「知道」拼音是什麼？,1,zhīdào,zhǐdào,zhhīdào,zhidào,
15,「明天」拼音是什麼？,2,mingtiān,míngtiān,mǐngtiān,míngtiǎn,
16,「手機」拼音是什麼？,2,shoujī,shǒujī,shóujī,shōujī,
17,「考試」拼音是什麼？,3,kàoshì,kaoshì,kǎoshì,kǎoshǐ,
18,「晚餐」拼音是什麼？,2,wǎncān,wǎncān,wǎncǎn,wǎncān,
19,「鞋子」拼音是什麼？,3,xièzi,xiézi,xiézi,xiezi,
20,「星期一」拼音是什麼？,3,xīngqìyī,xīngqīyī,xīngqíyī,xīngqiyī,
21,「右邊」拼音是什麼？,3,yòubiàn,youbiān,yòubiān,yǒubiān,
22,「英文」拼音是什麼？,2,yīngwēn,yīngwén,yíngwén,yingwén,
23,「一點點」拼音是什麼？,1,yìdiǎndiǎn,yìdiǎndian,yidiǎndiǎn,yìdiāndiǎn,
24,「病」拼音是什麼？,1,bìng,bīng,bǐng,bing,
25,「萬」拼音是什麼？,4,wan,wān,wǎn,wàn,
26,「都」拼音是什麼？,1,dōu,dòu,dóu,dǒu,
27,「五」拼音是什麼？,4,wu,wù,wū,wǔ,
28,「好」拼音是什麼？,3,hào,hao,hǎo,hāo,
29,「花」拼音是什麼？,2,huà,huā,huǎ,hua,
30,「老師」拼音是什麼？,4,lǎoshì,lǎoshi,lǎosī,lǎoshī,
31,「因為」拼音是什麼？,1,yīnwèi,yìnwèi,yīnwěi,yínwèi,
32,「天氣」拼音是什麼？,3,tiánqì,tiānqī,tiānqì,tiànqì,
33,「所以」拼音是什麼？,3,shuǒyǐ,suǒyi,suǒyǐ,suoyǐ,
34,「家人」拼音是什麼？,3,jiāren,jiàrén,jiārén,jiǎrén,
35,「耳朵」拼音是什麼？,2,èrduo,ěrduo,érduo,ērduo,
36,「女兒」拼音是什麼？,4,nǚèr,nüér,nǜér,nǚér,
37,「吃飯」拼音是什麼？,1,chīfàn,chīfān,chhīfàn,cīfàn,
38,「下雨」拼音是什麼？,4,xiàyù,xiáyǔ,xiàyú,xiàyǔ,
39,「同學」拼音是什麼？,4,tóngxuē,tóngxuě,tongxué,tóngxué,
40,「公車」拼音是什麼？,2,gōnchē,gōngchē,gōngchhē,góngchē,
41,「下課」拼音是什麼？,3,xiakè,xiákè,xiàkè,xiǎkè,
42,「有時候」拼音是什麼？,3,yǒusíhòu,yǒushíhóu,yǒushíhòu,yòushíhòu,
43,「門口」拼音是什麼？,3,méngkǒu,ménkou,ménkǒu,ménkōu,
44,「以後」拼音是什麼？,3,yihòu,yǐhóu,yǐhòu,yíhòu,
45,「起床」拼音是什麼？,2,qìchuáng,qǐchuáng,qǐchuǎng,qíchuáng,
46,「長」拼音是什麼？,3,chán,chàng,cháng,chǎng,
47,「累」拼音是什麼？,2,léi,lèi,lēi,lei,
48,「唸/念」拼音是什麼？,2,niān,niàn,niǎn,nián,
49,「和」拼音是什麼？,4,hán,hàn,hàn,hàn,
50,「好」拼音是什麼？,4,hao,háo,hāo,hǎo,
51,我＿＿＿老師。,4,在,有,去,是,
52,這＿＿＿我媽媽。,1,是,叫,在,有,
53,你是哪國＿＿＿？,3,的,位,人,本,
54,我愛吃中國＿＿＿。,3,話,書,菜,人,
55,你叫什麼＿＿＿？,3,時候,地方,名字,意思,
56,我＿＿＿一個哥哥。,2,要,有,是,在,
57,我沒有＿＿＿。,4,是,在,叫,錢,
58,他在學校＿＿＿書。,3,喝,聽,看,說,
59,我不喜歡喝＿＿＿。,3,手機,衣服,咖啡,作業,
60,你家有幾＿＿＿人？,4,本,個,位,口,
61,我有三＿＿＿書。,3,口,個,本,位,
62,這＿＿＿手機很貴。,3,本,位,支,個,
63,我朋友＿＿＿二十歲。,1,今年,明天,今天,昨天,
64,明天是星期＿＿＿？,2,什麼,幾,誰,哪,
65,現在＿＿＿點了？,2,誰,幾,哪,什麼,
66,我喜歡學＿＿＿。,2,名字,中文,作業,地方,
67,你去＿＿＿買東西？,1,哪裡,誰,幾點,什麼,
68,老師不在＿＿＿。,3,東西,名字,學校,意思,
69,今天天氣很＿＿＿。,2,大,熱,會,多,
70,這杯水很＿＿＿。,2,看,冷,聽,好,
71,我不＿＿＿說英文。,3,是,有,會,在,
72,你想喝什麼＿＿＿？,2,本,水,書,人,
73,我們去喝茶＿＿＿。,2,的,吧,呢,嗎,
74,你知道他＿＿＿？,1,嗎,吧,呢,的,
75,你家在哪＿＿＿？,4,個,的,嗎,裡,
76,我＿＿媽媽很漂亮。,3,是,要,的,不,
77,這本書是誰＿＿＿？,4,呢,嗎,吧,的,
78,我＿＿＿錢。,1,沒,不,是,好,
79,請問現在幾＿＿＿？,3,號,歲,點,分,
80,他叫什麼＿＿＿？,1,名字,天氣,功課,地方,
81,我買了三＿＿＿衣服。,4,個,位,本,件,
82,你有幾＿＿＿書？,2,位,本,個,口,
83,你想喝咖啡＿＿＿＿茶？,2,是,還是,可能,也,
84,你說得太＿＿＿了。,4,多,少,大,快,
85,這件衣服太＿＿＿了。,1,大,好,懂,快,
86,我＿＿＿知道王老師。,1,不,真,很,沒,
87,今天我＿＿＿去學校。,1,沒,不,很,也,
88,我有＿＿＿台灣朋友。,4,一點,一共,一樣,一些,
89,你想吃什麼＿＿＿？,4,名字,天氣,地方,東西,
90,我不懂他的＿＿＿。,3,作業,名字,意思,地方,
91,他在家＿＿＿覺。,4,吃,看,喝,睡,
92,你的生日是幾月幾＿＿＿？,3,點,歲,號,分,
93,我姐姐＿＿＿二十歲。,1,今年,明天,昨天,今天,
94,誰在＿＿＿？,4,意思,什麼,功課,教室,
95,你想＿＿＿什麼？,3,是,在,買,有,
96,這裡有一＿＿＿人。,3,口,本,個,位,
